image,mode,dice,source
G021_Week5_LFOV,binary,0.788433,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\G021_Week5.nii\metrics.csv
G021_Week5_LFOV.nii.gz,binary,0.788433,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\G021_Week5.nii\G021_Week5_LFOV_meta.json
G021_Week6_LFOV,binary,0.852473,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\G021_Week6.nii\metrics.csv
G021_Week6_LFOV.nii.gz,binary,0.852473,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\G021_Week6.nii\G021_Week6_LFOV_meta.json
G021_Week7_LFOV,binary,0.122164,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\G021_Week7.nii\metrics.csv
G021_Week7_LFOV.nii.gz,binary,0.122164,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\G021_Week7.nii\G021_Week7_LFOV_meta.json
H007_Week0_LFOV,binary,0.090672,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\H007_Week0.nii\metrics.csv
H007_Week0_LFOV.nii.gz,binary,0.090672,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\H007_Week0.nii\H007_Week0_LFOV_meta.json
H017_Week0_LFOV,binary,0.696344,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\H017_Week0.nii\metrics.csv
H017_Week0_LFOV.nii.gz,binary,0.696344,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\H017_Week0.nii\H017_Week0_LFOV_meta.json
H017_Week1_LFOV,binary,0.419764,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\H017_Week1.nii\metrics.csv
H017_Week1_LFOV.nii.gz,binary,0.419764,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\H017_Week1.nii\H017_Week1_LFOV_meta.json
H017_Week2_LFOV,binary,0.807886,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\H017_Week2.nii\metrics.csv
